时间t(s),动能T(J),势能V(J),机械能E(J),波浪输入功率Pin(W),垂荡兴波耗散bh_zdotf2(W),纵摇兴波耗散btheta_thetadotf2(W),直线PTO耗散Pl(W),旋转PTO耗散Ptheta(W),总耗散Pd(W),累计输入功Win(J),累计耗散Wdiss(J),能量残差E-(Win-Wdiss)(J)
6,527.8569542,4982.245652,5510.102607,640.9109869,21.54799392,27.01866495,34.93697068,0.05496598088,83.55859553,6548.684402,1038.581796,9.586074157e-10
6.2,562.27586,4977.316964,5539.592824,-117.2210029,25.16754525,30.84414339,4.931208904,0.06391303672,61.00681058,6589.264408,1049.671583,9.631548892e-10
6.4,1689.633188,3792.682655,5482.315842,-30.31781282,208.794584,28.80371036,3.757585765,0.05786854017,241.4137487,6559.086037,1076.770195,9.722498362e-10
6.6,3465.76676,2012.799976,5478.566735,895.0824916,499.6040196,21.5694373,35.96462442,0.04374430944,557.1818257,6634.019887,1155.453152,9.831637726e-10
6.8,5046.55712,600.006693,5646.563813,2236.719164,760.5517061,11.89184153,88.00367846,0.02406650366,860.4712926,6945.391916,1298.828103,1.008629624e-09
7,5615.044088,409.9961857,6025.040273,3351.699557,859.0637498,3.58254939,134.4032742,0.007038984053,997.0566125,7513.387082,1488.346809,1.051375875e-09
7.2,4830.024566,1722.130431,6552.154998,3687.238017,738.7236301,0.01687730066,150.9523395,4.082997608e-05,889.6928877,8233.246461,1681.091463,1.085936674e-09
7.4,3051.534108,4040.329485,7091.863593,3056.310361,455.2601985,2.770010362,128.0397589,0.00570199593,586.0756698,8922.745032,1830.881439,1.12959242e-09
7.6,1202.930039,6293.576788,7496.506827,1740.421766,154.8552355,10.94833695,76.81712941,0.02214128504,242.6428432,9409.294848,1912.788021,1.138687367e-09
7.8,317.8003876,7358.922145,7676.722532,363.9893869,2.560117464,21.5002891,24.39711126,0.04345873197,48.50097655,9614.76914,1938.046608,1.135049388e-09
8,994.6081394,6650.871758,7645.479897,-403.7173156,96.00966492,30.39831999,0.1091143401,0.06196144179,126.5790607,9596.138256,1950.658358,1.14323484e-09
8.2,3046.580678,4467.902419,7514.483096,-176.198955,409.6423249,34.22208371,19.81773484,0.069620328,463.7517638,9520.761328,2006.278231,1.152329787e-09
8.4,5547.240875,1896.103351,7443.344226,953.8607034,800.9020005,31.51127045,76.70037489,0.06483333614,909.1784791,9586.879042,2143.534816,1.165972208e-09
8.6,7271.731944,292.7849247,7564.516868,2449.077454,1078.55348,23.33060349,143.7666421,0.04846039111,1245.699185,9927.102891,2362.586023,1.191438059e-09
8.8,7322.586009,596.6143348,7919.200344,3580.845242,1100.228345,12.83449125,187.2939053,0.02716779677,1300.383909,10541.90117,2622.700825,1.25146471e-09
9,5618.85769,2816.298231,8435.155921,3781.865622,849.2091411,4.001369884,184.445501,0.008993489767,1037.665005,11296.34882,2861.192903,1.300577424e-09
9.2,2983.310037,5974.866724,8958.176761,2926.762124,449.0960498,0.06085784271,135.8292773,0.000259097911,584.986444,11983.0309,3024.85414,1.336957212e-09
9.4,761.6095876,8561.995669,9323.605256,1401.882639,105.8957093,2.248241068,66.11388077,0.003858475765,174.2616896,12421.61494,3098.009687,1.366061042e-09
9.6,150.7534055,9283.984667,9434.738073,-73.66883013,4.75939298,9.377510823,11.94240224,0.01766882405,26.09697486,12547.09864,3112.360566,1.378793968e-09
9.8,1574.267348,7736.48459,9310.751937,-792.6044646,213.4276961,18.38587575,3.108366016,0.03578910039,234.9577269,12443.42848,3132.676544,1.37151801e-09
10,4431.200537,4649.170461,9080.370997,-404.0349266,642.8664864,25.60302804,46.71630451,0.05075752729,715.2365765,12305.14806,3224.777065,1.386069926e-09
10.2,7363.771032,1559.099661,8922.870693,910.0487144,1087.534023,28.21388462,122.7572618,0.05702700986,1238.562196,12344.58485,3421.714161,1.407897798e-09
10.4,8924.232246,59.09841813,8983.330664,2514.929206,1327.054756,25.31962739,193.7442678,0.05217105288,1546.170822,12688.91255,3705.581885,1.471562427e-09
10.6,8310.6368,991.5006045,9302.137404,3624.589654,1238.670368,18.19068426,223.7286749,0.03852657708,1480.628253,13317.00555,4014.86815,1.527951099e-09
10.8,5795.250508,3997.711067,9792.961575,3680.812521,862.818825,9.644320385,196.9878528,0.0214214308,1069.47242,14067.33655,4274.37498,1.609805622e-09
11,2616.931922,7664.108079,10281.04,2626.780377,386.8643506,2.842701118,126.6342754,0.007083216075,516.3484103,14714.04968,4433.009675,1.642547431e-09
11.2,378.3338333,10206.56958,10584.90341,941.126348,53.30832476,0.02641665189,48.46045032,0.0002822976099,101.795474,15075.20635,4490.302931,1.669832272e-09
11.4,243.7652175,10359.58623,10603.35144,-586.8035347,37.77420334,1.698488205,2.936311597,0.00239107131,42.41139421,15101.17159,4497.820148,1.666194294e-09
11.6,2342.071163,8023.905241,10365.9764,-1234.447061,358.5006539,6.561633086,14.4794042,0.01126654208,379.5529577,14900.15146,4534.175052,1.67710823e-09
11.8,5682.196195,4339.841503,10022.0377,-695.2327953,864.1076988,12.18368205,78.66737096,0.02233420239,954.981086,14687.85655,4665.818848,1.693479135e-09
12,8633.257646,1138.295816,9771.553461,769.4631539,1307.203579,16.06861137,164.0938232,0.03068163665,1487.396695,14684.81373,4913.260273,1.731677912e-09
12.2,9734.639176,35.76114551,9770.400321,2450.644299,1467.742969,16.66407802,228.0861096,0.03291887869,1712.526076,15010.3365,5239.936175,1.811713446e-09
12.4,8430.879325,1623.604918,10054.48424,3528.471298,1264.24198,13.8962776,238.3544584,0.02851753264,1516.521233,15624.18373,5569.699488,1.866283128e-09
12.6,5359.509499,5160.389476,10519.89897,3464.921976,796.4004702,9.049313339,189.5275003,0.01957911375,994.9968629,16344.35523,5824.456256,1.919033821e-09
12.8,2042.50557,8927.341998,10969.84757,2263.883009,296.8987263,4.096076346,106.0807148,0.009753931722,407.0852714,16933.03712,5963.189556,1.960870577e-09
13,132.013274,11075.16629,11207.17957,472.9878134,15.92084223,0.8098957132,30.09107344,0.002576281231,46.82438767,17209.91166,6002.732095,1.999069354e-09
13.2,586.665278,10542.31654,11128.98181,-1074.979963,96.10241506,0.05241581342,0.002421321753,2.629967605e-06,96.15725482,17138.68898,6009.707166,2.01362127e-09
13.4,3191.414208,7586.373065,10777.78727,-1658.326511,500.7196929,1.524075391,31.18394866,0.00185005211,533.429567,16845.30252,6067.515251,2.033630153e-09
13.6,6662.289218,3661.672858,10323.96208,-1011.180416,1031.347422,4.038684882,108.153749,0.006151639671,1143.546008,16558.76872,6234.806644,2.088199835e-09
13.8,9284.219734,702.2539319,9986.473666,548.2068132,1426.31305,6.150001853,192.3967343,0.01025878365,1624.870045,16502.6707,6516.197039,2.155502443e-09
14,9762.993624,166.0175869,9929.011211,2267.269656,1490.734476,6.818920685,241.7816851,0.01207133524,1739.347153,16788.87934,6859.868129,2.250089892e-09
14.2,7865.942077,2314.961926,10180.904,3315.92492,1193.171869,5.820529771,231.7237568,0.01089415677,1430.72705,17364.13869,7183.234688,2.333763405e-09
14.4,4533.024108,6088.129049,10621.15316,3180.480141,680.8011085,3.734899361,167.4134163,0.007509657355,851.9569339,18034.98893,7413.835776,2.37923814e-09
14.6,1405.795754,9628.353475,11034.14923,1907.237207,205.899149,1.56948629,81.02045985,0.003602556112,288.4926977,18559.20983,7525.0606,2.435626811e-09
14.8,12.05104609,11199.30469,11211.35574,80.2363165,0.6739479753,0.2265420805,15.40685049,0.0008248001169,16.30816535,18760.35215,7548.996406,2.482920536e-09
15,1013.273116,10037.58384,11050.85696,-1455.715772,162.9021311,0.08259235244,2.653411312,6.998092155e-06,165.6381417,18611.03534,7560.178384,2.479282557e-09
15.2,3886.989157,6720.138277,10607.12743,-1994.652877,608.9198606,0.8710106718,48.21255909,0.0008801413486,658.0043105,18245.64501,7638.517578,2.506567398e-09
15.4,7196.407184,2870.315523,10066.72271,-1301.985359,1116.530711,1.897130556,128.5358496,0.002377229497,1246.966068,17896.64802,7829.925311,2.588421921e-09
15.6,9307.039168,353.7855458,9660.824714,277.0008368,1435.611664,2.450343262,203.1655372,0.003312578578,1641.230857,17784.91493,8124.090212,2.639353625e-09
15.8,9190.923352,364.9507404,9555.874092,1982.673399,1411.02762,2.188892459,235.0358304,0.003049058097,1648.255392,18016.02221,8460.148117,2.71393219e-09
16,6921.201595,2853.088797,9774.290392,3000.693455,1057.198375,1.300153,208.743793,0.001808082137,1267.244129,18531.36679,8757.076403,2.779415809e-09
16.2,3618.938649,6564.280034,10183.21868,2844.777202,548.4522605,0.3638226677,137.7555162,0.0004709538524,686.5720703,19136.73238,8953.513697,2.812157618e-09
16.4,887.8822637,9669.07255,10556.95481,1582.140515,131.3465636,0.002370391745,57.19917119,1.469575213e-05,188.5481198,19594.27827,9037.32346,2.841261448e-09
16.6,23.82523897,10659.76309,10683.58833,-202.9653409,3.336163122,0.5126629472,6.124005911,0.0008990023493,9.973730983,19734.19647,9050.608141,2.824890544e-09
16.8,1389.994399,9075.275434,10465.26983,-1687.825739,217.770748,1.68048167,8.233913046,0.002757779088,227.6879005,19533.46038,9068.190547,2.810338628e-09
17,4260.078816,5704.417113,9964.495929,-2198.488709,661.0179757,2.882510789,60.63580503,0.004573204556,724.5408647,19125.10161,9160.605681,2.795786713e-09
17.2,7194.852657,2179.640742,9374.493399,-1522.752912,1111.216035,3.427941199,135.9348247,0.00525412321,1250.584055,18734.46543,9359.972027,2.868546289e-09
17.4,8756.174434,171.711045,8927.885479,-3.250081647,1348.112346,2.96166721,196.2806102,0.004306851077,1547.358931,18573.16347,9645.277992,2.941305866e-09
17.6,8202.67095,584.4117963,8787.082747,1629.900418,1259.358819,1.71045807,212.1272226,0.002226166532,1473.198726,18740.83867,9953.755922,2.963133738e-09
17.8,5829.870584,3138.458772,8968.329356,2604.783396,891.8416797,0.4257650172,176.3742917,0.0003578424057,1068.642094,19180.48845,10212.15909,2.986780601e-09
18,2799.799185,6535.305508,9335.104694,2467.461439,424.7631558,0.0289600631,107.1209242,0.0002547536217,531.9132949,19707.37064,10372.26595,3.041350283e-09
18.2,557.2682121,9106.237171,9663.505383,1287.70465,79.78961258,1.122432729,38.06585069,0.002826066483,118.9807221,20096.84221,10433.33683,3.044988262e-09
18.4,127.2609153,9620.904698,9748.165613,-382.552464,13.5286008,3.613102658,1.65913736,0.00771481512,18.80855563,20189.24255,10441.07693,3.035893315e-09
18.6,1635.920327,7862.489511,9498.409838,-1774.142002,244.64523,6.657359028,13.46153817,0.01326532072,264.7773925,19962.73918,10464.32935,3.054083209e-09
18.8,4278.403702,4701.07092,8979.474622,-2261.396719,649.459203,8.989918417,65.25937395,0.01717022903,723.7256656,19540.8899,10561.41527,3.099557944e-09
19,6733.960503,1646.117577,8380.07808,-1649.038693,1025.737583,9.509959965,129.9298014,0.01755010553,1165.194894,19132.69327,10752.61518,3.126842785e-09
19.2,7813.572611,108.9906667,7922.563277,-253.5018327,1191.68206,7.857153924,175.2277696,0.01396890855,1374.780952,18934.3191,11011.75582,3.164132067e-09
19.4,7021.806259,736.8329209,7758.63918,1254.569135,1071.513664,4.690424202,179.4651036,0.007872557275,1255.677064,19038.87803,11280.23885,3.248715075e-09
19.6,4767.712889,3132.130304,7899.843193,2168.195524,727.3885455,1.501501155,141.4457721,0.002163687317,870.3379824,19395.82996,11495.98677,3.286004358e-09
19.8,2137.739679,6076.971013,8214.710692,2071.278125,324.6311475,0.005537992599,80.13852686,1.900052095e-05,404.7752314,19837.66544,11622.95475,3.308741725e-09
20,356.0007617,8136.754439,8492.755201,1023.459681,49.56798219,1.357695836,24.72067161,0.003430081734,75.64977972,20159.92114,11667.16594,3.339664545e-09
20.2,200.7963702,8343.245614,8544.041984,-479.2777454,20.91995025,5.548991186,0.2220663474,0.0121263708,26.70313415,20216.26042,11672.21844,3.330569598e-09
20.4,1655.492972,6631.617997,8287.110969,-1744.258446,236.9166508,11.28052698,15.84640121,0.02342295913,264.067002,19984.36262,11697.25165,3.363311407e-09
20.6,3948.586525,3835.893934,7784.48046,-2206.024931,581.4383227,16.41723084,61.40098923,0.03315473741,659.2896975,19573.00981,11788.52935,3.359673428e-09
20.8,5946.849345,1263.53961,7210.388955,-1682.81168,883.516928,18.8630745,113.1070067,0.03737342212,1015.524383,19168.69271,11958.30375,3.38513928e-09
21,6700.733863,66.69329589,6767.427159,-449.3106882,999.6826354,17.49519673,145.5247838,0.0341083145,1162.736724,18947.98309,12180.55593,3.419700079e-09
21.2,5879.264597,712.8542679,6592.118865,902.443891,879.4567182,12.74150631,143.6071354,0.02440919422,1035.829769,18996.93554,12404.81668,3.478817234e-09
21.4,3896.401395,2797.198823,6693.600218,1743.805002,584.2565484,6.518185018,109.1803461,0.01215108579,699.9672306,19274.33772,12580.7375,3.512468538e-09
21.6,1685.109688,5267.832638,6952.942326,1698.582545,253.3448403,1.510818432,59.12760309,0.002595317218,313.9858572,19634.36949,12681.42716,3.534296411e-09
21.8,241.8716508,6939.836717,7181.708368,807.533433,35.4946596,0.0727736863,16.63071502,0.0002488337258,52.19839714,19896.47597,12714.7676,3.517016012e-09
22,164.5356718,7046.364335,7210.900007,-503.1784552,19.9342188,3.198557505,0.006361055007,0.00690435078,23.14604171,19928.98723,12718.08722,3.526110959e-09
22.2,1397.325758,5570.928248,6968.254006,-1628.756006,198.5353754,10.02138902,14.50818892,0.02071622149,223.0856696,19707.79204,12739.53803,3.526110959e-09
22.4,3289.19045,3219.381543,6508.571993,-2067.410873,474.8749177,18.07825604,50.72146251,0.03676390744,543.7114001,19324.05423,12815.48224,3.508830559e-09
22.6,4921.336265,1063.283048,5984.619313,-1645.692159,713.2400525,24.26463074,89.85385739,0.0489374962,827.4074781,18939.11905,12954.49974,3.540662874e-09
22.8,5538.882282,35.08253125,5573.964813,-586.6259965,802.7132419,26.10087698,112.9968675,0.05240662409,941.863393,18708.92877,13134.96396,3.601599019e-09
23,4883.895028,512.9998844,5396.894912,604.9041165,706.1297314,22.7846824,109.800781,0.04565665888,838.7608515,18713.39834,13316.50343,3.629793355e-09
23.2,3284.470493,2178.91984,5463.390333,1380.91305,472.560118,15.57756204,82.61226963,0.03122261692,570.7811722,18922.69993,13459.3096,3.67526809e-09
23.4,1474.408333,4198.016284,5672.424617,1400.266615,209.9853554,7.343136917,44.51167584,0.01477385671,261.8549421,19214.48555,13542.06093,3.68891051e-09
23.6,241.4765835,5620.516625,5861.993208,676.0318824,33.12144965,1.409382391,12.60841316,0.002886176298,47.14213137,19432.44439,13570.45118,3.710738383e-09
23.8,73.01480587,5812.116752,5885.131558,-442.7204796,11.56567545,0.2161065011,0.01478566777,0.0003956707246,11.79696328,19458.20726,13573.0757,3.717104846e-09
24,957.4699759,4718.806586,5676.276562,-1440.236481,141.5360216,4.307599298,10.24426621,0.008420534106,156.0963076,19263.60964,13587.33308,3.697095963e-09
24.2,2419.911101,2858.233669,5278.14477,-1872.373279,352.2324809,12.09354254,36.36981454,0.02387505349,400.719713,18920.43873,13642.29396,3.726199793e-09
24.4,3760.014949,1058.454405,4818.469354,-1563.87126,541.5710354,20.48414826,64.92832969,0.04068946189,627.0242028,18564.83128,13746.36192,3.749846655e-09
24.6,4373.57769,75.5600066,4449.137697,-677.4924392,623.3451887,26.14109196,82.42217222,0.05224384308,731.9606967,18334.00877,13884.87107,3.777131496e-09
24.8,4010.410322,266.3663739,4276.776696,370.9910574,564.1393255,26.82830802,81.29488431,0.05402071946,672.3165385,18304.77522,14027.99852,3.821696737e-09
25,2860.270236,1456.194235,4316.464472,1107.821382,394.4825656,22.30544432,62.77461499,0.04539135922,479.6080163,18461.26044,14144.79597,3.860805009e-09
25.2,1441.753476,3046.705359,4488.458836,1214.802268,191.2443606,14.39918815,35.60892753,0.02981315164,241.2822895,18705.22713,14216.76829,3.850800567e-09
25.4,356.675851,4300.947239,4657.62309,665.4574611,41.08905044,6.231850189,11.62020465,0.01337581665,58.9544811,18902.73814,14245.11505,3.865352483e-09
25.6,25.86967344,4670.223414,4696.093087,-273.6234557,2.28401258,0.9364568482,0.3176728699,0.002314440312,3.540456738,18945.04316,14248.95007,3.85716703e-09
25.8,521.2878074,4018.908405,4540.196213,-1171.412578,81.49843333,0.3956569725,4.995507981,0.0005223493892,86.89012063,18796.11902,14255.9228,3.861714504e-09
26,1558.990483,2657.500932,4216.491415,-1628.906257,234.4375863,4.52206403,21.86021868,0.008076515008,260.8279455,18506.31887,14289.82745,3.878085408e-09
26.2,2643.87516,1182.785733,3826.660894,-1454.035877,388.2251021,11.36194927,42.26859106,0.02134823457,441.8769907,18187.38204,14360.72114,3.890818334e-09
26.4,3293.38065,206.311232,3499.691882,-738.9824517,474.340549,17.9556414,56.81724383,0.03460434435,549.1480385,17961.26517,14461.57329,3.891727829e-09
26.6,3239.906969,93.95748767,3333.864456,190.0680138,457.3530846,21.57580794,59.36893866,0.04239368831,538.3402249,17906.24918,14572.38473,3.913100954e-09
26.8,2528.665257,825.872266,3354.537523,923.6497652,347.6651071,20.81977592,49.32989903,0.0417141054,417.8564962,18024.02867,14669.49115,3.91219146e-09
27,1477.989083,2027.630187,3505.61927,1150.546754,194.1393853,16.11100511,31.40495879,0.03308348393,241.6884327,18241.38807,14735.7688,3.946297511e-09
27.2,528.8654842,3148.201445,3677.066929,790.0656402,61.19752487,9.427898957,13.18808647,0.02012711048,83.83363741,18444.48318,14767.41625,3.954482963e-09
27.4,54.06822068,3700.87457,3754.94279,19.69926485,1.037610444,3.408177019,1.797726657,0.007924950168,6.25143907,18529.68327,14774.74048,3.958120942e-09
27.6,208.3590156,3462.980755,3671.33977,-809.7620556,32.77834536,0.231822606,1.023294551,0.0008654614498,34.03432798,18448.38594,14777.04617,3.973582352e-09
27.8,878.1672916,2554.35722,3432.524512,-1330.950879,136.5762109,0.7596478618,10.08139657,0.0009199523145,147.4181753,18226.66465,14794.14014,3.966306394e-09
28,1744.319197,1369.64311,3113.962308,-1318.666431,264.0563589,4.273265049,24.31584717,0.007026714963,292.6524979,17952.12202,14838.15971,3.97221811e-09
28.2,2424.680609,400.918847,2825.599456,-782.7261445,359.7090351,8.890181922,37.36981249,0.01577010319,405.9847997,17734.6347,14909.03525,3.989953257e-09
28.4,2633.802842,29.58827596,2663.391118,42.39859412,383.8955457,12.43746324,43.83348144,0.02298404409,440.1894745,17658.588,14995.19688,3.986770025e-09
28.6,2294.201482,374.1178677,2668.31935,803.4110668,328.1304685,13.38451347,41.29351318,0.02554207074,382.8340373,17747.23753,15078.91818,3.976765584e-09
28.8,1557.514834,1252.652671,2810.167504,1181.717504,217.0073544,11.43393146,31.0523938,0.02256473237,259.5162444,17954.04033,15143.87283,3.978129826e-09
29,732.2065333,2269.990285,3002.196818,1028.412488,96.77099259,7.541008299,17.36397006,0.01557575179,121.6915467,18183.94541,15181.74859,3.991772246e-09
29.2,151.6511694,2987.932909,3139.584078,424.3198792,15.7820991,3.394001279,5.60161213,0.007622337025,24.78533485,18334.90485,15195.32077,3.979494068e-09
29.4,38.07591529,3106.593238,3144.669153,-358.3322838,4.990267984,0.619883708,0.1310515739,0.001821737967,5.743025004,18341.59912,15196.92996,4.004050425e-09
29.6,416.6170091,2583.064334,2999.681343,-974.3452392,66.10204486,0.08313467942,2.699594232,1.224126151e-05,68.88478601,18202.85592,15203.17458,4.014964361e-09
29.8,1111.540417,1641.846572,2753.386989,-1152.875724,171.778764,1.579638417,11.89965692,0.002090688816,185.2601501,17981.46794,15228.08095,4.029971024e-09
30,1823.118851,676.2507766,2499.369627,-811.454391,277.3567405,4.031904089,23.83702559,0.006271247999,305.2319414,17776.88847,15277.51884,4.032699508e-09
30.2,2252.105335,83.4927527,2335.598087,-89.40749065,339.1435902,6.060065367,33.69576109,0.01007129437,378.909488,17682.63922,15347.04114,4.025878297e-09
30.4,2221.122505,101.4862542,2322.608759,712.4574134,331.9509725,6.641662471,37.59045401,0.01151726684,376.1946063,17746.52478,15423.91602,4.061803338e-09
30.6,1744.798483,713.1565333,2457.955016,1259.934922,258.9947766,5.551559875,34.0221355,0.01000103848,298.578473,17950.40905,15492.45404,4.071353032e-09
30.8,1021.580729,1655.975315,2677.556044,1327.282519,150.3712908,3.39429908,24.41728691,0.006419711427,178.1892965,18218.01117,15540.45513,4.088633432e-09
31,351.390971,2531.81657,2883.20754,893.2907897,50.79826858,1.242146027,12.56597689,0.002590969572,64.60898247,18447.39747,15564.18993,4.117282515e-09
31.2,12.5487794,2971.987773,2984.536552,151.0762548,1.49418975,0.07628816304,3.169812734,0.0002772786727,4.740567925,18554.46688,15569.93032,4.104549589e-09
31.4,147.4591564,2790.174378,2937.633535,-572.9573958,23.37786551,0.3109463671,0.03167034975,0.0003168056678,23.72079903,18509.05143,15571.4179,4.096364137e-09
31.6,703.2222245,2060.755776,2763.978,-957.468623,108.313943,1.626190311,4.558098323,0.002277860651,114.5005095,18348.25261,15584.27461,4.111825547e-09
31.8,1451.731617,1089.80079,2541.532406,-823.8336731,222.0412997,3.17572304,15.14881216,0.004776340357,240.3706112,18161.12501,15619.59261,4.13183443e-09
32,2082.163747,289.4441282,2371.607875,-214.5933935,317.8339543,4.050422632,27.73850971,0.00626275949,349.6291494,18050.90913,15679.30126,4.153207556e-09
32.2,2329.291833,6.133064042,2335.424897,621.6984628,355.6028337,3.756687919,37.33192947,0.00585967797,396.6973108,18090.66428,15755.23938,4.206412996e-09
32.4,2085.562835,373.2802877,2458.843122,1334.435268,318.7734613,2.467754006,39.98088891,0.003818358781,361.2259226,18291.24024,15832.39712,4.261892173e-09
32.6,1450.040307,1250.461105,2700.501412,1620.865667,221.9027987,0.924141157,34.44258627,0.001366208584,257.2708923,18595.59647,15895.09505,4.229150363e-09
32.8,691.8660982,2276.951998,2968.818096,1358.336657,105.5246267,0.03703303522,22.8301788,3.046719567e-05,128.391869,18902.4336,15933.6155,4.265530151e-09
33,140.6632777,3020.323116,3160.986394,661.2318372,19.85870782,0.39815399,9.920280476,0.0007921435395,30.17793443,19109.50848,15948.52209,4.243247531e-09
33.2,47.45543315,3160.020065,3207.475498,-164.0096149,3.759799223,1.948125104,1.305463545,0.003513969817,7.016901842,19158.23719,15950.76169,4.218691174e-09
33.4,474.0530991,2628.76841,3102.821509,-748.8565587,67.61815591,3.978181195,1.076751896,0.006951736262,72.68004074,19060.1604,15957.33889,4.241428542e-09
33.6,1259.463551,1649.562946,2909.026497,-823.0820255,187.711659,5.474474921,9.980201157,0.009364598417,203.1756997,18893.25042,15984.22393,4.268258635e-09
33.8,2081.274195,648.2345879,2729.508783,-336.017538,315.0226455,5.640516056,24.87500258,0.009431025568,345.5475951,18768.92691,16039.41813,4.268258635e-09
34,2589.905381,74.46999027,2664.375371,515.8782378,395.4633199,4.337195217,39.83470662,0.007007100187,439.6422288,18783.55621,16119.18083,4.311004886e-09
34.2,2560.788987,205.4544935,2766.243481,1370.046519,393.31431,2.21064936,48.54786629,0.003321826755,444.0761475,18975.45267,16209.20919,4.299181455e-09
34.4,1998.66032,1017.416509,3016.076829,1854.706608,307.7812935,0.4245047157,47.07009557,0.0004689908614,355.2763628,19306.57595,16290.49912,4.28462954e-09
34.6,1145.501343,2184.663948,3330.165291,1754.040914,174.9882407,0.1068180817,35.73579053,0.000403541078,210.8312528,19677.71297,16347.54768,4.302819434e-09
34.8,383.5246596,3212.358546,3595.883205,1108.240023,53.70272483,1.770230158,19.30497416,0.003913738719,74.78184289,19971.27599,16375.39278,4.309640644e-09
35,70.79513205,3650.240349,3721.035481,201.7334808,0.2280997812,4.992317498,5.133328318,0.01008478685,10.36383038,20103.33935,16382.30387,4.317371349e-09
35.2,379.4334683,3295.734167,3675.167636,-558.387295,43.0828787,8.532869699,0.03249785835,0.01656255058,51.66480881,20061.86151,16386.69387,4.288722266e-09
35.4,1209.31926,2294.923675,3504.242936,-822.2701702,168.8379261,10.86279838,7.144900482,0.02055496646,186.8661799,19913.57355,16409.33061,4.280536814e-09
35.6,2220.422274,1091.091142,3311.513416,-456.1138213,326.1364349,10.87841245,24.26480806,0.02014452529,361.2997999,19775.61717,16464.10376,4.309185897e-09
35.8,2975.614115,236.7509801,3212.365095,392.444845,447.0964077,8.471050529,44.49058186,0.01530340216,500.0733435,19763.80873,16551.44363,4.32919478e-09
36,3134.991528,147.7963901,3282.787918,1354.5613,477.3270272,4.669698531,59.08482195,0.008100569724,541.0896482,19940.30618,16657.51827,4.351022653e-09
36.2,2615.720698,908.751363,3524.472061,2002.137352,401.330554,1.258247518,61.38111709,0.001936931385,463.9718555,20284.35127,16759.8792,4.354660632e-09
