时间t(s),质量矩阵最小特征值min_eig_M
100.8,500.3726915
101,495.8186579
101.2,499.9827758
101.4,512.725095
101.6,533.2451545
101.8,559.8367674
102,589.7752974
102.2,619.5034637
102.4,645.1251874
102.6,663.0627812
102.8,670.6905028
103,666.8183071
103.2,651.9573455
103.4,628.2911478
103.6,599.2773824
103.8,568.9250534
104,540.9855368
104.2,518.3716582
104.4,502.9787674
104.6,495.8405352
104.8,497.391705
105,507.6081672
105.2,525.9177818
105.4,550.9487129
105.6,580.3196794
105.8,610.692562
106,638.1753995
106.2,658.9723894
106.4,670.0717122
106.6,669.7957861
106.8,658.1270859
107,636.7585147
107.2,608.8096923
107.4,578.208681
107.6,548.8985159
107.8,524.156294
108,506.2589881
108.2,496.5210067
108.4,495.5305837
108.6,503.3503892
108.8,519.5259771
109,542.9002208
109.2,571.3853632
109.4,601.9133814
109.6,630.7132341
109.8,653.8881719
110,668.1166438
110.2,671.2753125
110.4,662.8518519
110.6,644.0755564
110.8,617.7114624
111,587.5126926
111.2,557.4592156
111.4,531.0423809
111.6,510.841735
111.8,498.4682497
112,494.7479892
112.2,499.9269729
112.4,513.7234174
112.6,535.1883685
112.8,562.4866332
113,592.7988608
113.2,622.5108064
113.4,647.7092331
113.6,664.8499729
113.8,671.408794
114,666.3696589
114.2,650.4586033
114.4,626.0463455
114.6,596.6814159
114.8,566.347978
115,538.7002838
115.2,516.5520946
115.4,501.7450759
115.6,495.3040932
115.8,497.6610386
116,508.7476719
116.2,527.8833938
116.4,553.5426704
116.6,583.1983423
116.8,613.4299138
117,640.3523673
117.2,660.2543376
117.4,670.2571336
117.6,668.8445371
117.8,656.1789643
118,634.1308989
118.2,605.9471111
118.4,575.5783018
118.6,546.8702339
118.8,522.9263591
119,505.8494778
119.2,496.8405655
119.4,496.4517298
119.6,504.7582932
119.8,521.3165391
120,544.939303
120.2,573.4686661
120.4,603.7678357
120.6,632.0508886
120.8,654.4844954
121,667.8693793
121.2,670.218518
121.4,661.1329249
121.6,641.9213869
121.8,615.4004925
122,585.3473861
122.2,555.7257141
122.4,529.959103
122.6,510.5163963
122.8,498.8832802
123,495.7796943
123.2,501.3876305
123.4,515.4065324
123.6,536.8985702
123.8,564.0475529
124,594.0490337
124.2,623.3067568
124.4,647.9472143
124.6,664.4984279
124.8,670.5289069
125,665.1045154
125.2,648.9916965
125.4,624.5526001
125.6,595.2989402
125.8,565.1802448
126,537.8337721
126.2,516.0662233
126.4,501.7026744
126.6,495.7277596
126.8,498.5109815
127,509.9163118
127.2,529.2127996
127.4,554.8578396
127.6,584.3404021
127.8,614.2755365
128,640.8181972
128.2,660.2973993
128.4,669.8822287
128.6,668.1162493
128.8,655.221396
129,633.0997793
129.2,604.9808703
129.4,574.7575735
129.6,546.2131781
129.8,522.4203533
130,505.4940862
130.2,496.6722698
130.4,496.535595
130.6,505.1525834
130.8,522.0318806
131,545.9167397
131.2,574.5886221
131.4,604.8817459
131.6,633.0141882
131.8,655.174926
132,668.1930038
132.2,670.1190129
132.4,660.6130462
132.6,641.0634045
132.8,614.358689
133,584.3014366
133.2,554.8179665
133.4,529.2556878
133.6,510.0146311
133.8,498.5551265
134,495.6201117
