时间t(s),浮子垂荡位移zf(m),浮子垂荡速度dzf/dt(m/s),浮子纵摇角位移θf(rad),浮子纵摇角速度dθf/dt(rad/s),振子垂荡位移zo(m),振子垂荡速度dzo/dt(m/s),振子纵摇角位移θo(rad),振子纵摇角速度dθo/dt(rad/s)
93.4,-0.538560325016,-0.208297358731,0.0666363337213,0.012867253023,-0.583175262904,-0.245276583537,0.0690382982668,0.0132536872675
93.6,-0.547991053516,0.114906984564,0.0646607759712,-0.0322825154599,-0.597521839109,0.103190687209,0.0669779378731,-0.033491566028
93.8,-0.4935174767,0.424373258538,0.054055746928,-0.072473409783,-0.542672497084,0.440091237223,0.0559907604684,-0.0750299570515
94,-0.381601657105,0.683656203519,0.0363490194642,-0.102555329841,-0.424820253063,0.727135412195,0.0376702863634,-0.106060759199
94.2,-0.225430720496,0.862636012824,0.0139484990494,-0.118983365574,-0.257379998616,0.931053076968,0.0145136830339,-0.122954695065
94.4,-0.0432818711384,0.940997502098,-0.010228344523,-0.120240525753,-0.0595932679047,1.02746981333,-0.0104619625641,-0.124175156174
94.6,0.143668359093,0.910280943309,-0.033166460169,-0.106836341999,0.145598752029,1.00423043017,-0.0341443811197,-0.110275065819
94.8,0.313799605757,0.774499212787,-0.0521303367226,-0.0809848484827,0.334226004066,0.863380052601,-0.0537154692546,-0.0835692135621
95,0.447496388589,0.549480853617,-0.0649582507749,-0.0461251363348,0.484167056442,0.621187741844,-0.0669549084849,-0.0476295364655
95.2,0.529349995683,0.261076741065,-0.0702570850592,-0.00642534112784,0.577824953352,0.306144676931,-0.0724370793657,-0.00674467229148
95.4,0.549896967456,-0.0576586340122,-0.0675034256727,0.0336511361796,0.604233921213,-0.0446257060104,-0.0696261166533,0.0345432296099
95.6,0.506706423647,-0.370114625102,-0.0570657624165,0.0697031386772,0.560342449332,-0.38990661227,-0.0588909575198,0.0717747066604
95.8,0.404683329422,-0.640245534056,-0.0401603402205,0.0977055966203,0.451344330737,-0.689278712326,-0.041462769284,0.100828476513
96,0.255539493294,-0.836687591899,-0.0187444674568,0.114328799708,0.290038835642,-0.907858687221,-0.0193400541298,0.118208701286
96.2,0.0764831292924,-0.936379248021,0.00465742390966,0.117293293804,0.0952981969877,-1.02040527093,0.0048743135889,0.121442957392
96.4,-0.111731301506,-0.927281653366,0.0272012388802,0.105742154285,-0.110180480336,-1.01428285278,0.0282243543778,0.109549132787
