时间t(s),相对位移u=zo-zf(m),相对角phi=thetao-thetaf(rad),直线PTO功率Pl(W),旋转PTO功率Ptheta(W)
26,0.04072735396,-0.004146413721,21.86021877,0.008076515047
26.2,0.02943064477,-0.003392883793,42.26859125,0.02134823464
26.4,0.01525022849,-0.002332803526,56.81724411,0.03460434442
26.6,-0.0001387489487,-0.001082265381,59.36893896,0.04239368838
26.8,-0.01500221476,0.0002260548015,49.32989927,0.04171410545
27,-0.02773924657,0.001457408714,31.40495893,0.03308348396
27.2,-0.03704851073,0.002489410514,13.18808652,0.02012711049
27.4,-0.04205273634,0.003224804291,1.797726657,0.00792495016
27.6,-0.04237074439,0.003601181924,1.023294564,0.0008654614439
27.8,-0.03813302248,0.003596632289,10.08139664,0.0009199523236
28,-0.02994313945,0.003230776562,24.31584733,0.007026714994
28.2,-0.01879274651,0.002561173864,37.3698127,0.01577010324
28.4,-0.005942011207,0.001675605603,43.83348166,0.02298404416
28.6,0.007220204688,0.0006812055897,41.29351336,0.02554207081
28.8,0.01932133983,-0.0003082555259,31.0523939,0.02256473243
29,0.02914100042,-0.001185436676,17.36397008,0.01557575183
29.2,0.03572545125,-0.001861337471,5.601612115,0.007622337045
29.4,0.0384714293,-0.002274710545,0.1310515676,0.001821737972
29.6,0.03717342226,-0.002397947756,2.699594274,1.224126151e-05
29.8,0.03203212257,-0.002238843564,11.89965702,0.002090688822
30,0.02362515379,-0.001838132782,23.83702574,0.006271248017
30.2,0.01284414744,-0.00126319854,33.69576125,0.01007129441
30.4,0.0008046843511,-0.0005987911637,37.59045413,0.01151726688
30.6,-0.01126256302,6.406189192e-05,34.02213556,0.01000103852
30.8,-0.02212996682,0.0006395798237,24.41728691,0.006419711463
31,-0.03069029061,0.001057781511,12.56597685,0.002590969594
31.2,-0.03606326504,0.001272801944,3.169812699,0.0002772786791
31.4,-0.0376821308,0.001267994611,0.0316703541,0.0003168056623
31.6,-0.03535224387,0.001057245104,4.558098379,0.002277860641
31.8,-0.0292758216,0.0006823892875,15.14881225,0.00477634035
32,-0.02003947489,0.0002071064606,27.73850981,0.006262759492
32.2,-0.008564222466,-0.0002919131599,37.33192954,0.005859677981
32.4,0.003978955159,-0.0007353977686,39.98088893,0.003818358796
32.6,0.01628154404,-0.001052200309,34.44258623,0.001366208596
32.8,0.02702827065,-0.001188932149,22.83017874,3.046719787e-05
33,0.03503405067,-0.001117308945,9.920280416,0.0007921435271
33.2,0.03937339373,-0.0008382760115,1.305463521,0.003513969791
33.4,0.03948828981,-0.0003823769271,1.076751917,0.006951736226
33.6,0.0352618388,0.0001937083444,9.980201209,0.00936459838
33.8,0.02704765181,0.0008140563632,24.87500263,0.009431025539
34,0.01564920446,0.001392998055,39.83470665,0.007007100169
34.2,0.002248513094,0.001846066763,48.54786627,0.00332182675
34.4,-0.01171078357,0.002101051258,47.0700955,0.0004689908619
34.6,-0.02467526993,0.002107779666,35.73579044,0.0004035410752
34.8,-0.03515309748,0.001845397741,19.30497409,0.003913738703
35,-0.04188612358,0.001326193212,5.133328282,0.01008478682
35.2,-0.04400288326,0.0005954238032,0.03249786071,0.01656255053
35.4,-0.04113350789,-0.0002729177667,7.144900504,0.0205549664
35.6,-0.03347115398,-0.001183978978,24.26480807,0.02014452523
35.8,-0.02177006579,-0.002032695084,44.49058184,0.01530340211
36,-0.007277507461,-0.002715994038,59.08482188,0.008100569689
36.2,0.008395330693,-0.003145136499,61.381117,0.001936931372
36.4,0.02345067152,-0.003256727355,49.99572011,9.058495034e-05
36.6,0.0361104554,-0.003021066395,29.79517303,0.004196198848
36.8,0.04482789291,-0.002446795835,10.01098292,0.01335517985
37,0.04847885012,-0.001581218886,0.1936374953,0.02432871206
37.2,0.0465090429,-0.0005061589436,5.76799052,0.03279978548
37.4,0.0390174725,0.0006702538844,25.26070919,0.03520490483
37.6,0.02676362988,0.001825003414,50.61350988,0.03035106971
37.8,0.01109494522,0.002833565439,70.61934393,0.02008714404
38,-0.006199298204,0.003583749255,76.034309,0.00868190607
38.2,-0.02309203617,0.003988434183,64.03288682,0.001116325163
38.4,-0.0375572165,0.003995737945,39.8530047,0.0009844848537
38.6,-0.04781498743,0.003595428253,14.70005076,0.008897634425
38.8,-0.05255328584,0.002820802451,0.7177979487,0.02210080601
39,-0.0510978774,0.001745765965,5.279578258,0.03551026583
39.2,-0.04350852131,0.0004773812869,27.29089587,0.04377297691
39.4,-0.03058752358,-0.0008553265738,57.36013061,0.04349835886
39.6,-0.01379749622,-0.002115093763,81.92560802,0.03471780525
39.8,0.004903627951,-0.003171162708,89.53415342,0.02093732169
40,0.02329177379,-0.003913417038,76.3574716,0.007736715704
40.2,0.03914312356,-0.004264334813,48.27934217,0.0004857221719
40.4,0.05050554372,-0.004187426686,18.4275723,0.002128209757
40.6,0.05594155526,-0.003691215078,1.168220006,0.01196435419
40.8,0.05471225507,-0.002828307296,5.313574039,0.02594360566
41,0.04687838662,-0.001689663511,29.76673599,0.03834509985
41.2,0.0333046638,-0.0003946973642,63.76179843,0.04413828658
41.4,0.01556527537,0.0009216882032,91.72124635,0.04103406317
41.6,-0.004239222045,0.002123687229,100.5384799,0.03037488161
41.8,-0.02373222335,0.003089179697,85.86909501,0.01650955774
42,-0.04054853414,0.003722709976,54.39887431,0.004939833818
42.2,-0.05262387341,0.003965429649,20.90805856,3.642523707e-05
42.4,-0.05845063119,0.003800927777,1.416013143,0.003286777036
42.6,-0.05726787382,0.003256339569,5.595799855,0.01279083162
